technology,sub_concept_id,sub_concept,lang,term,term_norm_v3,rule,gate,source,v2_reason
SAR,SAR-1,Automated financial statement generation / automated close and consolidation,ar,الإقفال الآلي,اقفال الي,substring,,AR,AR-5 mangled the stem in v1
Cloud,CL-0,Generic cloud term (technology-level),en,the cloud,the cloud,substring,,HUS2022,
Big Data,BD-2,Big data infrastructure / data warehouse / data platform,en,data lake,data lake,substring,,LI2025,
Big Data,BD-1,Data analytics / BI / dashboards,en,dashboard,dashboard,substring,,LI2025,
Cloud,CL-6,Cloud security and data privacy,ar,أمن السحابة,امن سحابه,substring,,AR,
AI/ML,AI-1,Machine learning,ar,تعلم الآلة,تعلم اله,substring,,AR,
AI/ML,AI-1,Machine learning,ar,التعلم الآلي,تعلم الي,substring,,AR,AR-5 mangled the stem in v1
XBRL,XB-2,XBRL tagging and taxonomy use,en,XBRL tag,xbrl tag,substring,,TH2.5.3,
AI/ML,AI-7,Anomaly / fraud detection,ar,كشف الشذوذ,كشف شذوذ,substring,,AR,
ERP,ERP-1,ERP implementation / upgrade (incl. named systems),ar,نظام ساب,نظام ساب,substring,,AR,
XBRL,XB-2,XBRL tagging and taxonomy use,en,taxonomy,taxonomy,requires_co_term,XB-0,TH2.5.3,
Big Data,BD-0,Generic big data term (technology-level),en,big data,big data,substring,,LI2025;HUS2022,
AI/ML,AI-9,Chatbot / virtual assistant,en,chatbot,chatbot,substring,,LI2025,
AI/ML,AI-9,Chatbot / virtual assistant,ar,شات بوت,شات بوت,substring,,AR,
XBRL,XB-2,XBRL tagging and taxonomy use,en,tagging,tagging,requires_co_term,XB-0,TH2.5.3,
ERP,ERP-1,ERP implementation / upgrade (incl. named systems),en,Oracle,oracle,substring,,ALTIN2025,
ERP,ERP-1,ERP implementation / upgrade (incl. named systems),ar,أوراكل,اوراكل,substring,,AR,
Big Data,BD-7,IoT / sensor data,en,sensor,sensor,requires_co_term,,HUS2022,
ERP,ERP-4,ERP for IFRS compliance and segment reporting,en,IFRS 8,ifrs 8,substring,ERP-0,TSAI2020,"restored in v3, gated by ERP-0"
XBRL,XB-2,XBRL tagging and taxonomy use,en,iXBRL,ixbrl,word_boundary+case_sensitive_raw,,TH2.5.3,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
